Period;Date;treatment;pond;sp;Wt;Nt
Stocking;2021;P;1;Roach;5300;105
Stocking;2021;C;2;Roach;5400;105
Stocking;2021;P;3;Roach;6020;105
Stocking;2021;C;4;Roach;5700;105
Stocking;2021;P;5;Roach;5280;105
Stocking;2021;C;6;Roach;5140;105
Stocking;2021;P;1;Zander;1132.2;1069
Stocking;2021;C;2;Zander;1096.8;1036
Stocking;2021;P;3;Zander;1111;1049
Stocking;2021;C;4;Zander;1117.6;1056
Stocking;2021;P;5;Zander;1153.8;1090
Stocking;2021;C;6;Zander;1133.4;1071
